Sensor,Accuracy (%),Out of Range (%),Valid Values,Invalid Values,Total Values
Sensor 1,91.52,8.48,9884,916,10800
Sensor 2,28.85,71.15,3116,7684,10800
Sensor 3,91.63,8.37,9896,904,10800
Sensor 4,98.65,1.35,10654,146,10800
