No,Number Per One Dimension,Gender,Size,Horizational Distance (CM),Vertical distance between shoulderes and table surface ,Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Width of shoulders ,Horizontal distance between eyes and head posture device ,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
63,3,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),640,471,612,526
64,4,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),652,468,609,523
65,5,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),647,470,613,521
66,6,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),645,486,613,525
67,7,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),647,487,614,526
68,8,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),652,477,616,527
69,9,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),648,487,616,526
70,10,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),650,469,612,524
71,11,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),658,475,615,529
72,12,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),660,475,622,522
73,13,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),655,483,610,519
74,14,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),669,464,617,527
75,15,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),657,465,601,523
76,16,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),653,482,610,524
77,17,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),658,480,613,520
78,18,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),674,475,620,524
79,19,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),667,469,624,521
80,20,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),668,484,614,523
81,21,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),662,487,620,523
82,22,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),671,493,615,528
83,23,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),659,480,618,527
84,24,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),666,478,615,524
85,25,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),668,480,613,530
86,26,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),673,486,617,519
87,27,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),673,482,613,526
88,28,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),651,474,620,522
89,29,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),672,488,621,530
90,30,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),663,487,619,520
91,31,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),656,479,617,520
92,32,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),670,476,615,523
93,33,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),661,489,612,530
94,34,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),651,484,617,523
95,35,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),650,486,616,530
96,36,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),663,496,620,527
97,37,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),667,482,621,530
98,38,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),662,490,623,527
99,39,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),664,476,616,525
100,40,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),669,478,612,520
101,41,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),659,491,618,533
102,42,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),665,475,617,522
103,43,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),670,467,618,517
104,44,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),670,469,616,527
105,45,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),668,475,612,535
106,46,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),656,469,621,530
107,47,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),666,476,616,519
108,48,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),668,482,621,532
109,49,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),670,480,625,529
110,50,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),671,476,620,528
111,51,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),672,485,614,529
112,52,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),669,484,619,523
113,53,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),674,480,623,523
114,54,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),666,493,623,531
115,55,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),665,472,617,530
116,56,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),674,482,619,531
117,57,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),671,471,612,528
118,58,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),658,485,617,528
119,59,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),678,485,620,529
120,60,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),666,479,615,526
121,1,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),713,568,640,558
122,2,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),705,556,648,565
123,3,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),711,560,644,564
124,4,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),708,561,643,565
125,5,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),708,558,644,564
126,6,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),710,570,641,555
127,7,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),708,573,646,566
128,8,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),702,574,658,559
129,9,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),710,579,645,556
130,10,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),710,568,641,561
131,11,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),700,562,643,563
132,12,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),698,572,639,561
133,13,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),710,569,641,563
134,14,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),710,546,643,559
135,15,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),710,584,644,557
136,16,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),709,566,644,563
137,17,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),712,567,645,559
138,18,Female,M,65,34,46,48,42,56,Round Shoulder,Neutral Position(Best Position),706,549,647,564
