Subject No.,No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
16,45,45,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),670,509,663,599
16,46,46,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),666,494,671,601
16,47,47,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),667,485,666,589
16,48,48,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),676,476,670,606
16,49,49,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),667,494,677,587
16,50,50,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),665,498,671,591
16,51,51,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),668,489,671,599
16,52,52,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),666,504,673,603
16,53,53,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),677,482,676,600
16,54,54,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),663,499,670,596
16,55,55,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),668,490,673,585
16,56,56,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),661,489,672,598
16,57,57,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),670,510,672,596
16,58,58,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),667,500,669,589
16,59,59,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),666,495,680,597
16,60,60,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),668,482,673,591
16,61,1,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),689,537,689,622
16,62,2,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),689,537,696,625
16,63,3,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,550,691,624
16,64,4,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,533,686,614
16,65,5,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),683,539,682,616
16,66,6,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),690,548,685,622
16,67,7,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),687,544,682,613
16,68,8,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),684,534,689,614
16,69,9,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),687,543,691,616
16,70,10,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),685,545,688,618
16,71,11,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),694,537,683,609
16,72,12,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),682,540,695,611
16,73,13,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),681,537,689,613
16,74,14,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),690,535,682,624
16,75,15,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),683,526,687,623
16,76,16,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),687,546,681,625
16,77,17,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),684,539,685,621
16,78,18,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),691,530,686,618
16,79,19,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),684,540,682,618
16,80,20,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),690,535,682,609
16,81,21,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),682,535,686,615
16,82,22,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),683,546,682,623
16,83,23,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),682,537,685,620
16,84,24,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),691,539,690,611
16,85,25,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,535,689,623
16,86,26,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),678,535,690,614
16,87,27,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),683,545,689,621
16,88,28,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),684,521,691,614
16,89,29,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),684,539,688,618
16,90,30,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),685,535,682,617
16,91,31,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),682,539,688,615
16,92,32,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),684,538,683,626
16,93,33,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),679,534,682,608
16,94,34,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),691,536,684,623
16,95,35,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),688,548,691,608
16,96,36,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,535,680,609
16,97,37,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,520,684,611
16,98,38,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),678,526,685,618
16,99,39,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),687,541,685,624
16,100,40,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),691,535,691,609
16,101,41,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,539,683,614
16,102,42,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),685,549,684,620
16,103,43,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,535,685,609
16,104,44,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,534,683,600
16,105,45,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),689,550,676,627
16,106,46,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),685,530,681,620
16,107,47,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),681,541,688,612
16,108,48,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),684,532,683,618
16,109,49,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),680,539,687,603
16,110,50,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),686,529,685,617
16,111,51,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),683,542,685,615
16,112,52,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),683,534,679,617
16,113,53,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),689,534,679,619
16,114,54,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),687,542,682,620
16,115,55,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),677,541,689,617
16,116,56,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),682,549,680,619
16,117,57,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),688,538,682,619
16,118,58,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),682,537,682,615
16,119,59,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),690,545,675,629
16,120,60,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Acceptable),676,537,690,619
16,121,1,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),700,560,695,626
16,122,2,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),694,563,691,613
16,123,3,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),689,571,690,628
16,124,4,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,564,695,627
16,125,5,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),699,557,691,624
16,126,6,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,548,686,629
16,127,7,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,557,690,625
16,128,8,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,561,688,631
16,129,9,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,548,691,627
16,130,10,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),702,555,696,625
16,131,11,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),698,557,697,632
16,132,12,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,555,697,624
16,133,13,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,559,695,631
16,134,14,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),697,560,684,632
16,135,15,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,549,693,631
16,136,16,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),696,554,692,626
16,137,17,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,546,691,631
16,138,18,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),696,553,689,624
16,139,19,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),686,551,690,621
16,140,20,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),696,553,692,626
16,141,21,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,545,686,634
16,142,22,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),696,568,682,619
16,143,23,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),694,554,695,629
16,144,24,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,566,688,626
16,145,25,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),700,550,689,623
16,146,26,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,557,689,621
16,147,27,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),688,560,692,629
16,148,28,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,551,685,625
16,149,29,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),686,554,693,621
16,150,30,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,545,689,622
16,151,31,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,544,695,630
16,152,32,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),691,549,690,623
16,153,33,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,556,692,627
16,154,34,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),694,550,688,621
16,155,35,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),688,561,694,625
16,156,36,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),697,549,689,618
16,157,37,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),695,540,692,623
16,158,38,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,557,689,628
16,159,39,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,547,686,628
16,160,40,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,555,689,621
16,161,41,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,553,689,616
16,162,42,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),691,552,687,619
16,163,43,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),688,547,689,621
16,164,44,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),697,548,688,621
16,165,45,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),690,556,693,629
16,166,46,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),683,540,680,632
16,167,47,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,544,694,624
16,168,48,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,556,690,620
16,169,49,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),685,550,694,614
16,170,50,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),688,535,691,624
16,171,51,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),685,551,694,628
16,172,52,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),685,546,686,625
16,173,53,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,548,688,622
16,174,54,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,539,689,626
16,175,55,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),691,541,688,619
16,176,56,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),691,542,687,628
16,177,57,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),689,542,695,618
16,178,58,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),689,560,685,628
16,179,59,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),692,550,691,623
16,180,60,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neutral Position(Best Position),693,542,688,622
16,181,1,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,695,581,677,617
16,182,2,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,553,686,629
16,183,3,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,676,564,678,616
16,184,4,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,679,563,675,625
16,185,5,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,692,572,682,616
16,186,6,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,685,566,675,623
16,187,7,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,685,577,678,622
16,188,8,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,691,578,679,618
16,189,9,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,690,570,681,617
16,190,10,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,689,574,675,613
16,191,11,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,687,560,682,620
16,192,12,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,568,678,623
16,193,13,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,567,681,635
16,194,14,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,689,570,681,624
16,195,15,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,683,557,674,624
16,196,16,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,682,567,680,620
16,197,17,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,685,566,683,621
16,198,18,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,684,570,679,624
16,199,19,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,684,573,676,614
16,200,20,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,693,570,679,619
16,201,21,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,689,558,674,612
16,202,22,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,693,571,681,630
16,203,23,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,680,567,682,624
16,204,24,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,574,682,631
16,205,25,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,682,569,674,622
16,206,26,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,687,568,675,624
16,207,27,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,689,568,679,625
16,208,28,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,679,574,679,616
16,209,29,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,574,690,619
16,210,30,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,686,563,684,616
16,211,31,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,683,562,684,619
16,212,32,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,692,571,679,616
16,213,33,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,689,551,682,620
16,214,34,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,552,679,625
16,215,35,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,692,561,681,626
16,216,36,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,689,568,673,616
16,217,37,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,695,553,687,623
16,218,38,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,681,551,682,621
16,219,39,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,567,684,616
16,220,40,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,691,574,681,610
16,221,41,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,685,577,681,618
16,222,42,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,683,573,685,622
16,223,43,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,684,566,682,618
16,224,44,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,693,549,677,616
16,225,45,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,679,550,675,622
16,226,46,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,687,562,684,632
16,227,47,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,694,570,685,622
16,228,48,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,684,568,678,621
16,229,49,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,685,559,683,621
16,230,50,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,686,562,687,627
16,231,51,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,687,567,690,625
16,232,52,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,695,557,679,630
16,233,53,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,690,566,677,622
16,234,54,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,690,567,683,616
16,235,55,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,683,570,680,623
16,236,56,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,690,549,675,615
16,237,57,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,688,552,674,623
16,238,58,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,686,564,674,629
16,239,59,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,684,559,693,620
16,240,60,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Neck Extension,684,572,673,630
16,241,1,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),677,513,677,617
16,242,2,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),675,519,679,616
16,243,3,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),671,520,682,619
16,244,4,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),683,520,683,615
16,245,5,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),668,518,673,616
16,246,6,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),672,517,680,622
16,247,7,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),680,520,681,617
16,248,8,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),676,537,682,615
16,249,9,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),687,521,674,626
16,250,10,Female,S,38,28,26,43,50,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),671,527,671,617
