Subject No.,No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
16,1,1,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),661,474,665,585
16,2,2,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),658,460,665,594
16,3,3,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),652,482,666,595
16,4,4,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),666,477,666,593
16,5,5,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),665,474,666,590
16,6,6,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),667,480,664,599
16,7,7,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),661,468,670,586
16,8,8,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),671,484,658,599
16,9,9,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),659,475,660,599
16,10,10,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),673,470,664,595
16,11,11,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),661,479,662,595
16,12,12,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),666,467,667,577
16,13,13,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),663,473,670,593
16,14,14,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),664,476,670,595
16,15,15,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),663,475,669,590
16,16,16,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),659,462,665,591
16,17,17,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),662,464,668,588
16,18,18,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),661,481,668,594
16,19,19,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),658,494,675,600
16,20,20,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),667,491,667,589
16,21,21,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),672,498,672,591
16,22,22,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),667,486,670,594
16,23,23,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),665,485,665,596
16,24,24,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),665,493,672,593
16,25,25,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),674,498,670,611
16,26,26,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),665,493,668,596
16,27,27,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),667,493,666,592
16,28,28,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),664,488,666,602
16,29,29,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),665,491,664,597
16,30,30,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),668,499,671,595
16,31,31,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),654,498,675,596
16,32,32,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),666,495,667,603
16,33,33,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),662,496,678,597
16,34,34,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),671,505,676,595
16,35,35,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),663,506,667,595
16,36,36,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),660,491,674,596
16,37,37,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),668,492,670,593
16,38,38,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),666,493,662,592
16,39,39,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),673,488,667,593
16,40,40,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),656,489,669,596
16,41,41,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),665,497,666,588
16,42,42,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),661,503,670,594
16,43,43,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),662,498,676,598
16,44,44,Female,S,38,28,26,43,50,48,65,62,Round Shoulder,Poking Chin (Extreme),675,500,666,600
