Timestamp,Posture,Distance (cm),Sensor Reading,
2024/6/20 18:21,RS+PC,70,454,548
2024/6/20 18:21,RS+PC,70,485,583
2024/6/20 18:21,RS+PC,70,527,625
2024/6/20 18:21,RS+PC,70,558,657
2024/6/20 18:21,RS+PC,70,565,668
2024/6/20 18:21,RS+PC,70,553,668
2024/6/20 18:21,RS+PC,70,531,659
2024/6/20 18:21,RS+PC,70,525,656
2024/6/20 18:21,RS+PC,70,528,657
2024/6/20 18:21,RS+PC,70,529,653
2024/6/20 18:21,RS+PC,70,528,649
2024/6/20 18:21,RS+PC,70,529,649
2024/6/20 18:21,RS+PC,70,528,651
2024/6/20 18:21,RS+PC,70,534,655
2024/6/20 18:21,RS+PC,70,531,657
2024/6/20 18:21,RS+PC,70,529,658
2024/6/20 18:21,RS+PC,70,528,657
2024/6/20 18:21,RS+PC,70,518,657
2024/6/20 18:21,RS+PC,70,523,656
2024/6/20 18:21,RS+PC,70,523,657
2024/6/20 18:21,RS+PC,80,525,655
2024/6/20 18:21,RS+PC,80,527,653
2024/6/20 18:21,RS+PC,80,541,660
2024/6/20 18:21,RS+PC,80,568,685
2024/6/20 18:21,RS+PC,80,602,711
2024/6/20 18:21,RS+PC,80,623,731
2024/6/20 18:21,RS+PC,80,626,737
2024/6/20 18:21,RS+PC,80,609,719
2024/6/20 18:21,RS+PC,80,578,703
2024/6/20 18:21,RS+PC,80,567,691
2024/6/20 18:21,RS+PC,80,551,689
2024/6/20 18:21,RS+PC,80,547,690
2024/6/20 18:21,RS+PC,80,552,687
2024/6/20 18:21,RS+PC,80,549,689
2024/6/20 18:21,RS+PC,80,552,687
2024/6/20 18:21,RS+PC,80,552,687
2024/6/20 18:21,RS+PC,80,544,686
2024/6/20 18:21,RS+PC,80,541,685
2024/6/20 18:21,RS+PC,80,541,686
2024/6/20 18:21,RS+PC,80,546,686
2024/6/20 18:21,RS+PC,80,549,692
2024/6/20 18:21,RS+PC,80,547,694
2024/6/20 18:22,NS+NE,65,547,694
2024/6/20 18:22,NS+NE,65,546,694
2024/6/20 18:22,NS+NE,65,544,691
2024/6/20 18:22,NS+NE,65,549,691
2024/6/20 18:22,NS+NE,65,558,691
2024/6/20 18:22,NS+NE,65,582,690
2024/6/20 18:22,NS+NE,65,603,678
2024/6/20 18:22,NS+NE,65,606,656
2024/6/20 18:22,NS+NE,65,606,636
2024/6/20 18:22,NS+NE,65,589,622
2024/6/20 18:22,NS+NE,65,582,617
2024/6/20 18:22,NS+NE,65,591,622
2024/6/20 18:22,NS+NE,65,595,627
2024/6/20 18:22,NS+NE,65,596,628
2024/6/20 18:22,NS+NE,65,600,636
2024/6/20 18:22,NS+NE,65,612,657
2024/6/20 18:22,NS+NE,65,613,674
2024/6/20 18:22,NS+NE,65,622,683
2024/6/20 18:22,NS+NE,65,627,692
2024/6/20 18:22,NS+NE,65,619,688
2024/6/20 18:22,NS+NE,65,621,682
2024/6/20 18:22,NS+NE,65,617,682
2024/6/20 18:22,NS+NE,65,616,682
2024/6/20 18:22,NS+NE,65,616,677
2024/6/20 18:22,NS+NE,65,623,678
2024/6/20 18:22,NS+NE,65,630,681
2024/6/20 18:22,NS+NE,65,627,684
