Sensor,Accuracy (%),Out of Range (%),Valid Values,Invalid Values,Total Values
Sensor 1,100.0,0.0,7223,0,7223
Sensor 2,100.0,0.0,7223,0,7223
Sensor 3,100.0,0.0,7223,0,7223
Sensor 4,100.0,0.0,7223,0,7223
