Sensor,Accuracy (%),Out of Range (%),Valid Values,Invalid Values,Total Values
Sensor 1,94.36,5.64,16306,974,17280
Sensor 2,87.85,12.15,15180,2100,17280
Sensor 3,96.93,3.07,16749,531,17280
Sensor 4,99.98,0.02,17276,4,17280
