,No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture,Head Posture,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 4-2
1960,1961,41,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),869,751,856,707,-44
1961,1962,42,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),866,746,854,720,-26
1962,1963,43,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),866,765,857,724,-41
1963,1964,44,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),871,749,851,715,-34
1964,1965,45,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),864,790,857,715,-75
1965,1966,46,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),868,757,858,709,-48
1966,1967,47,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),871,752,850,721,-31
1967,1968,48,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),870,774,857,716,-58
1968,1969,49,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),864,754,848,729,-25
1969,1970,50,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),876,755,858,711,-44
1970,1971,51,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),866,764,864,723,-41
1971,1972,52,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),868,762,854,711,-51
1972,1973,53,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),869,751,856,710,-41
1973,1974,54,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),862,764,854,718,-46
1974,1975,55,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),861,754,859,707,-47
1975,1976,56,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),870,770,858,719,-51
1976,1977,57,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),862,752,856,716,-36
1977,1978,58,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),860,768,860,701,-67
1978,1979,59,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),868,761,859,704,-57
1979,1980,60,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Extreme),865,759,855,717,-42
1980,1981,1,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),863,809,867,726,-83
1981,1982,2,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),878,810,863,716,-94
1982,1983,3,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),881,804,874,707,-97
1983,1984,4,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),877,814,870,722,-92
1984,1985,5,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),878,823,862,709,-114
1985,1986,6,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),880,802,863,717,-85
1986,1987,7,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),871,835,855,725,-110
1987,1988,8,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),865,803,861,704,-99
1988,1989,9,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,819,865,719,-100
1989,1990,10,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),879,795,862,725,-70
1990,1991,11,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),880,820,860,712,-108
1991,1992,12,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),877,827,852,721,-106
1992,1993,13,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),869,809,851,724,-85
1993,1994,14,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,810,859,725,-85
1994,1995,15,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),870,792,856,718,-74
1995,1996,16,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),864,785,862,715,-70
1996,1997,17,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),878,820,864,722,-98
1997,1998,18,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),873,796,863,710,-86
1998,1999,19,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,806,863,715,-91
1999,2000,20,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),890,805,863,712,-93
2000,2001,21,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),877,801,858,712,-89
2001,2002,22,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),871,814,860,726,-88
2002,2003,23,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,809,859,711,-98
2003,2004,24,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),868,822,861,722,-100
2004,2005,25,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),870,804,863,705,-99
2005,2006,26,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),882,812,861,722,-90
2006,2007,27,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),873,830,864,713,-117
2007,2008,28,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),868,819,854,737,-82
2008,2009,29,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),883,792,867,726,-66
2009,2010,30,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),865,800,860,718,-82
2010,2011,31,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,806,859,723,-83
2011,2012,32,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),871,785,856,717,-68
2012,2013,33,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),870,798,862,719,-79
2013,2014,34,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,804,854,715,-89
2014,2015,35,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),881,773,858,720,-53
2015,2016,36,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),872,811,855,719,-92
2016,2017,37,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,786,859,724,-62
2017,2018,38,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),862,801,863,713,-88
2018,2019,39,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),864,817,862,716,-101
2019,2020,40,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),867,791,860,724,-67
2020,2021,41,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),879,807,852,711,-96
2021,2022,42,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),868,799,860,719,-80
2022,2023,43,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,807,850,719,-88
2023,2024,44,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),879,781,856,719,-62
2024,2025,45,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),873,817,855,713,-104
2025,2026,46,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),873,787,860,719,-68
2026,2027,47,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),871,807,855,717,-90
2027,2028,48,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),868,801,860,719,-82
2028,2029,49,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),875,798,864,722,-76
2029,2030,50,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),877,802,863,713,-89
2030,2031,51,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),870,814,865,713,-101
2031,2032,52,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),879,804,863,726,-78
2032,2033,53,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),873,810,863,709,-101
2033,2034,54,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),872,790,860,718,-72
2034,2035,55,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),861,817,859,716,-101
2035,2036,56,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),866,804,861,724,-80
2036,2037,57,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),873,804,857,730,-74
2037,2038,58,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),869,788,869,729,-59
2038,2039,59,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),874,804,850,726,-78
2039,2040,60,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Poking Chin (Acceptable),863,795,862,732,-63
2040,2041,1,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),895,877,867,728,-149
2042,2043,3,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,871,869,715,-156
2043,2044,4,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),885,886,865,728,-158
2044,2045,5,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),876,878,871,724,-154
2045,2046,6,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),884,896,871,729,-167
2046,2047,7,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),875,865,868,722,-143
2047,2048,8,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),874,884,866,736,-148
2048,2049,9,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),887,882,867,724,-158
2049,2050,10,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),875,893,866,723,-170
2050,2051,11,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,872,872,728,-144
2051,2052,12,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),890,879,873,719,-160
2052,2053,13,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,892,867,709,-183
2053,2054,14,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),884,883,873,720,-163
2055,2056,16,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,868,875,712,-156
2056,2057,17,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,854,866,722,-132
2057,2058,18,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),894,839,872,719,-120
2058,2059,19,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),874,869,859,719,-150
2059,2060,20,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),887,873,867,720,-153
2060,2061,21,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),886,829,865,724,-105
2061,2062,22,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),880,883,879,730,-153
2062,2063,23,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),885,871,877,723,-148
2063,2064,24,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),874,868,871,730,-138
2064,2065,25,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),893,841,868,724,-117
2065,2066,26,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),889,877,863,728,-149
2066,2067,27,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),887,880,863,733,-147
2067,2068,28,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),887,879,875,722,-157
2068,2069,29,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),870,872,863,729,-143
2069,2070,30,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,874,875,735,-139
2070,2071,31,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),881,839,871,732,-107
2071,2072,32,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),883,887,866,723,-164
2072,2073,33,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,880,860,722,-158
2073,2074,34,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),886,869,874,734,-135
2074,2075,35,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),888,876,877,718,-158
2075,2076,36,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),886,869,865,722,-147
2076,2077,37,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),883,853,870,720,-133
2077,2078,38,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),880,874,870,720,-154
2078,2079,39,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),886,851,873,742,-109
2079,2080,40,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,857,862,723,-134
2080,2081,41,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),889,880,879,711,-169
2081,2082,42,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,856,864,708,-148
2082,2083,43,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),889,884,869,733,-151
2083,2084,44,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),888,875,873,716,-159
2084,2085,45,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),884,859,869,719,-140
2085,2086,46,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),893,889,872,727,-162
2086,2087,47,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),893,858,869,723,-135
2087,2088,48,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),880,873,865,718,-155
2088,2089,49,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),884,883,869,723,-160
2089,2090,50,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),885,868,867,721,-147
2090,2091,51,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,889,858,716,-173
2091,2092,52,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,878,864,733,-145
2092,2093,53,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),885,867,871,721,-146
2093,2094,54,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),877,867,871,705,-162
2094,2095,55,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,849,872,724,-125
2095,2096,56,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),874,853,869,727,-126
2096,2097,57,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),876,864,865,719,-145
2097,2098,58,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),883,890,869,716,-174
2098,2099,59,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),881,885,861,731,-154
2099,2100,60,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,880,874,724,-156
2142,2143,43,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,898,894,864,727,-167
2944,2945,5,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Poking Chin (Acceptable),807,654,772,682,28
3000,3001,1,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),806,658,778,692,34
3001,3002,2,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),785,656,773,683,27
3002,3003,3,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),807,651,773,678,27
3005,3006,6,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),796,664,774,685,21
3006,3007,7,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),798,657,775,684,27
3007,3008,8,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),819,671,783,677,6
3008,3009,9,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),819,655,789,691,36
3009,3010,10,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),805,664,779,684,20
3010,3011,11,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),807,650,783,689,39
3011,3012,12,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),808,658,782,690,32
3012,3013,13,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),799,674,778,690,16
3013,3014,14,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),808,650,770,674,24
3014,3015,15,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),815,653,776,690,37
3015,3016,16,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),807,663,777,679,16
3017,3018,18,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),811,655,775,688,33
3018,3019,19,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),813,658,777,694,36
3019,3020,20,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),802,653,778,681,28
3020,3021,21,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),788,653,779,677,24
3022,3023,23,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),796,655,775,689,34
3023,3024,24,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),804,652,780,683,31
3025,3026,26,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),796,658,771,678,20
3027,3028,28,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),805,655,778,670,15
3031,3032,32,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),799,652,786,683,31
3032,3033,33,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),804,663,775,678,15
3037,3038,38,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),798,652,784,678,26
3038,3039,39,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),807,651,781,680,29
3039,3040,40,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),808,655,772,688,33
3040,3041,41,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),802,651,782,680,29
3042,3043,43,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),807,655,780,679,24
3043,3044,44,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),798,652,783,689,37
3046,3047,47,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),802,651,786,674,23
3050,3051,51,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),807,662,774,689,27
3051,3052,52,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),811,650,778,687,37
3058,3059,59,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neutral Position(Best Position),802,658,782,694,36
3060,3061,1,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,815,684,783,679,-5
3061,3062,2,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,815,695,785,682,-13
3062,3063,3,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,807,694,789,689,-5
3063,3064,4,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,821,675,782,688,13
3064,3065,5,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,810,699,778,680,-19
3065,3066,6,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,802,688,783,691,3
3066,3067,7,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,815,689,776,696,7
3067,3068,8,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,810,677,777,695,18
3068,3069,9,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,807,674,785,681,7
3069,3070,10,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,813,679,787,689,10
3070,3071,11,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,811,684,774,687,3
3071,3072,12,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,815,672,780,677,5
3072,3073,13,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,817,673,785,674,1
3073,3074,14,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,814,686,789,696,10
3074,3075,15,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,799,690,787,681,-9
3075,3076,16,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,795,682,781,689,7
3076,3077,17,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,818,680,788,678,-2
3077,3078,18,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,817,687,791,699,12
3078,3079,19,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,813,678,781,671,-7
3079,3080,20,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,808,677,783,688,11
3080,3081,21,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,807,668,779,682,14
3081,3082,22,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,811,688,783,677,-11
3082,3083,23,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,813,678,782,703,25
3083,3084,24,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,797,678,792,686,8
3084,3085,25,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,815,676,781,688,12
3085,3086,26,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,807,676,774,698,22
3086,3087,27,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,792,680,785,682,2
3087,3088,28,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,809,673,785,685,12
3088,3089,29,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,797,681,779,690,9
3089,3090,30,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,805,683,772,708,25
3090,3091,31,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,813,672,781,682,10
3091,3092,32,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,808,677,780,696,19
3092,3093,33,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,799,669,772,688,19
3093,3094,34,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,804,677,781,691,14
3094,3095,35,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,811,675,783,670,-5
3095,3096,36,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,813,675,780,697,22
3096,3097,37,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,796,664,780,686,22
3097,3098,38,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,793,666,785,695,29
3098,3099,39,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,802,681,777,692,11
3099,3100,40,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,803,676,783,687,11
3100,3101,41,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,809,682,778,689,7
3101,3102,42,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,797,664,785,688,24
3102,3103,43,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,811,683,776,693,10
3103,3104,44,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,817,669,779,699,30
3104,3105,45,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,809,666,785,685,19
3105,3106,46,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,816,664,793,682,18
3106,3107,47,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,804,671,783,698,27
3107,3108,48,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,804,668,773,690,22
3108,3109,49,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,807,674,784,682,8
3109,3110,50,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,799,672,792,677,5
3110,3111,51,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,799,678,777,699,21
3111,3112,52,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,807,674,782,683,9
3112,3113,53,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,804,669,787,681,12
3113,3114,54,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,796,675,778,676,1
3114,3115,55,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,810,666,779,687,21
3115,3116,56,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,810,674,777,683,9
3116,3117,57,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,807,665,778,676,11
3117,3118,58,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,795,672,786,698,26
3118,3119,59,Male,L,44,37,35,54,48,48,70,67,Round Shoulder,Neck Extension,804,669,776,694,25
